time, prefix, as_path, leaker
2023-03-07 02:18:05,148.150.5.0/24,200005 13237 3257 3356 3908 7991 3561 55013 ,7991
2023-03-07 16:03:06,41.197.0.0/16,1126 3549 3356 8966 8966 8966 8966 36866 37662 3491 33765 37619 36934 ,36866
2023-03-09 02:46:04,195.49.164.0/22,202365 49697 196610 51531 33891 3320 9002 48422 6939 6762 3255 25143 25529 ,48422
2023-03-09 23:44:33,41.203.148.0/22,204092 34019 6696 6461 16637 29465 37282 6453 5511 37233 ,37282
2023-03-10 11:51:20,84.201.98.0/24,205148 49102 9002 3356 3257 13237 8879 3320 57837 ,8879
2023-03-13 06:17:15,64.56.138.0/24,202365 206499 50629 3320 852 852 22457 22457 22457 577 1239 6939 15102 ,22457
2023-03-14 04:14:49,202.171.39.0/24,263525 270577 268983 61595 53013 6762 7473 45352 23678 23678 23678 23678 4788 2914 6453 9930 23659 ,23678
2023-03-14 05:59:51,223.177.224.0/21,200005 13237 6461 7473 3491 9498 24560 ,7473
2023-03-16 08:54:17,45.119.240.0/24,200155 39392 33891 6461 7473 7552 3491 4637 137831 131435 131418 ,7552
2023-03-16 13:15:33,37.98.192.0/22,202365 49697 196610 51531 13101 3356 6453 25447 174 57794 ,25447
2023-03-17 03:55:15,202.89.116.0/23,268232 17222 4230 6453 3356 38757 3491 4635 7713 45320 ,38757
2023-03-18 13:37:11,93.159.197.0/24,49134 53356 47787 174 3320 12713 42313 42313 42313 42313 42313 42313 42313 6762 6939 47394 196838 ,42313
2023-03-18 14:22:19,192.138.161.0/24,263525 270577 268983 22356 6461 16399 2828 63413 ,16399
2023-03-18 19:47:04,196.10.231.0/24,204092 34019 6696 6461 16637 29465 37282 174 3356 37468 36923 37687 ,37282
2023-03-19 05:15:51,162.10.60.0/24,201953 50607 6830 3356 3910 209 3561 40685 ,3910
2023-03-19 20:55:23,220.243.248.0/24,201953 50607 3356 4637 4657 4761 1299 54994 ,4637
2023-03-20 18:57:53,175.100.8.0/24,28300 52873 7738 62663 6762 4637 7552 7552 7552 7552 7552 7552 7552 7552 7552 7552 7552 7473 6461 1299 38623 ,7552
2023-03-22 13:35:16,197.243.72.0/22,201953 50607 3356 8966 8966 8966 8966 36866 37662 3491 33765 37619 37228 ,36866
2023-03-23 21:46:55,46.182.16.0/23,49463 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 34659 12844 5410 3320 13237 196714 8220 3356 ,196714
2023-03-24 15:47:48,160.119.197.0/24,11039 46887 6461 16637 29465 37282 3356 6453 9498 327708 327708 327708 327708 327708 327708 36873 36873 328171 ,37282
2023-03-25 12:31:57,193.96.112.0/21,202365 49697 196610 51531 33891 3320 12329 15763 3356 174 8881 8881 15486 ,12329
2023-03-25 22:38:56,110.224.168.0/22,11039 4901 11164 6461 7473 3491 9498 45609 ,7473
2023-03-26 00:51:41,103.107.157.0/24,27553 27553 12129 2828 4637 9304 9927 9299 1239 3356 135607 45499 45499 137406 ,9927
2023-03-27 18:00:54,200.74.224.0/23,202365 206499 50629 3356 1239 28007 8048 8048 8048 8048 8048 8048 8048 8048 8048 52320 6461 6762 264628 21980 ,28007
2023-03-28 14:30:50,202.58.249.0/24,43561 8866 31042 3356 4637 4637 4637 4637 4637 4637 9304 135409 134783 9299 3491 174 36149 60725 38456 134783 ,9304
2023-03-28 18:52:33,206.81.68.0/24,263525 270577 268983 22356 10429 12956 6461 46309 54370 209 26864 ,54370
2023-03-29 08:55:32,185.9.108.0/23,1126 3549 3356 3257 13237 196714 196714 196714 196714 196714 196714 196714 196714 196714 196714 196714 196714 196714 8220 3320 62460 ,196714
2023-03-29 11:59:06,151.237.94.0/23,198948 62081 6762 6453 31287 3257 174 31287 35621 ,31287
2023-03-29 15:50:42,64.118.64.0/20,202365 206499 50629 3320 2828 7219 3356 174 36820 ,7219
2023-03-29 20:53:41,45.57.76.0/24,263525 270577 268983 61595 13786 7195 3356 7738 52320 272713 268042 265892 265892 265892 265303 28598 4230 701 2906 40027 ,7738
2023-03-30 05:41:14,200.76.104.0/24,202365 206499 50629 1299 3257 32098 28546 3549 11172 16531 ,11172
2023-03-30 16:27:13,49.159.32.0/21,49463 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 34659 6461 3356 4809 4134 3491 9924 24164 ,4809
2023-03-30 16:27:13,49.159.208.0/22,49463 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 34659 6461 3356 4809 4134 3491 9924 24165 ,4809
2023-03-30 16:27:13,118.232.196.0/22,49463 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 34659 6461 3356 4809 4134 3491 9924 38841 ,4809
2023-03-30 16:27:13,60.198.25.0/24,49463 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 34659 6461 3356 4809 4134 3491 9924 ,4809
2023-03-30 16:17:51,120.28.56.0/24,263525 270577 268983 61595 6453 701 4775 15412 6762 3491 9658 18190 ,4775
2023-03-31 02:41:24,64.209.247.0/24,202365 206499 50629 3356 209 3908 7991 3561 16645 ,7991
2023-03-31 02:41:43,143.58.20.0/23,263525 270577 268983 22356 3257 3356 3908 7991 3561 17989 ,7991
2023-04-01 16:08:38,185.109.87.0/24,53432 13994 10796 7843 3257 6461 7473 132829 3491 58453 38082 23900 17804 ,132829
2023-04-04 09:02:42,95.107.156.0/24,28646 8167 7738 52320 174 3320 12713 42313 42313 42313 42313 42313 42313 42313 42313 42313 6762 6939 47394 ,42313
2023-04-05 14:41:56,185.205.140.0/24,263287 263396 263321 264498 61568 26615 6762 7473 38082 38082 135300 45558 4651 4637 6461 174 132167 134739 ,38082
2023-04-06 08:32:50,103.53.177.0/24,202365 206499 50629 3356 4637 58460 60725 7474 7473 6461 58453 17828 55792 134151 ,58460
2023-04-06 09:33:21,196.11.231.0/24,204092 34019 6696 6461 16637 29465 37282 6453 5511 327708 36873 36873 327729 ,37282
2023-04-08 17:37:21,103.231.251.0/24,202365 206499 50629 3320 9002 9304 38278 6939 6461 6461 6461 6461 4637 4637 4637 4637 4657 18106 134809 133164 ,4637
2023-04-10 13:08:37,200.3.0.0/24,205206 33891 6461 52320 11562 3549 263182 ,11562
2023-04-10 13:50:59,148.150.5.0/24,200005 13237 3257 3356 3908 7991 3561 55013 ,7991
2023-04-11 13:51:15,41.203.153.0/24,204092 34019 6696 6461 16637 29465 37282 6453 5511 37233 ,37282
2023-04-11 20:03:33,45.60.199.0/24,204092 34019 6461 7473 3758 3491 19551 ,3758
2023-04-12 22:43:34,81.19.64.0/24,28300 52873 7738 52320 6461 8359 49063 196695 9002 3356 174 31133 24638 ,196695
2023-04-14 16:07:23,198.232.51.0/24,202365 206499 50629 3356 209 3908 7991 3561 22283 ,7991
2023-04-14 16:15:37,141.206.244.0/24,202365 206499 50629 3356 209 3908 7991 3561 395516 395516 ,7991
2023-04-15 20:51:42,122.170.160.0/20,204092 30781 6461 7473 3491 9498 24560 ,7473
2023-04-18 18:08:18,182.253.113.0/24,202365 206499 50629 3320 9002 4761 4761 4761 17451 17451 17451 17451 17451 6939 1299 174 17451 ,17451
2023-04-19 11:34:50,192.8.156.0/24,201971 4455 3356 3356 3356 3356 3356 3356 6453 13194 174 5400 36224 ,13194
2023-04-20 12:22:44,169.255.210.0/24,200005 31122 31122 6461 16637 29465 37282 3356 174 327708 36873 36873 327895 ,37282
2023-04-21 15:32:04,193.104.74.0/24,49463 13193 13193 13193 13193 13193 13193 34659 6461 20485 44266 42516 43727 39533 3491 3356 31133 31261 58091 ,42516
2023-04-22 21:57:25,197.243.112.0/22,28186 3356 8966 8966 8966 8966 36866 37662 3491 33765 37619 37228 ,36866
2023-04-24 14:36:19,41.138.161.0/24,49463 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 34659 6461 16637 29465 372 ,37282
2023-04-24 17:41:19,178.237.240.0/21,202365 206499 50629 3320 9002 12418 35598 6939 3356 12389 8615 197150 ,12418
2023-04-25 11:00:44,103.118.46.0/24,200155 39392 33891 6461 7473 7552 3491 55329 135375 137952 137952 137952 ,7552
2023-04-25 12:11:59,196.29.64.0/19,202365 49697 199610 34309 174 701 5639 23520 3491 3257 63351 11947 ,5639
2023-04-25 14:32:59,45.221.7.0/24,200155 39392 33891 3356 30844 36962 16637 3491 327738 ,36962
2023-04-26 07:18:51,192.138.161.0/24,204092 30781 6461 16399 2828 63413 ,16399
2023-04-27 05:48:21,103.162.46.0/24,202365 49697 196610 51531 33891 3356 3320 9583 58678 9498 6461 6453 4755 45194 45194 45194 45194 ,9583
2023-04-27 08:27:13,103.126.83.0/24,28186 7738 62663 6762 7473 4761 3491 174 7713 55687 ,4761
2023-04-27 10:17:25,41.222.151.0/24,28300 52873 7738 52320 6461 16637 29465 37282 3356 6939 37662 25163 ,37282
2023-04-29 01:59:47,45.119.241.0/24,204092 30781 6461 7473 7552 3491 4637 137831 131435 131418 ,7552
